[Evalation] Gamma->MalGraph
611 91f6ddb054a5e382eb8cc82d1a9fedbec9bf7f2daaaa30758bc22556ed14d6e3 True
612 None False
613 None False
614 None False
615 None False
616 None False
617 None False
618 None False
619 None False
620 None False
621 None False
622 None False
623 None False
624 None False
625 None False
626 None False
627 None False
628 None False
629 None False
630 None False
631 None False
632 None False
633 None False
634 None False
635 None False
636 None False
637 None False
638 None False
639 None False
640 None False
641 None False
642 None False
643 None False
644 None False
645 None False
646 None False
647 None False
648 None False
649 None False
650 None False
651 None False
652 None False
653 None False
654 None False
655 None False
656 None False
657 None False
658 None False
659 None False
660 None False
661 None False
662 None False
663 None False
664 None False
665 None False
666 None False
667 None False
668 None False
669 None False
670 None False
671 None False
672 None False
673 None False
674 None False
675 None False
676 None False
677 None False
678 None False
679 None False
680 None False
681 None False
682 None False
683 None False
684 None False
685 None False
686 None False
687 None False
688 None False
689 None False
690 None False
691 None False
692 None False
693 None False
694 None False
695 None False
696 None False
697 None False
698 None False
699 None False
700 None False
701 None False
702 None False
703 None False
704 None False
705 None False
706 None False
707 None False
708 None False
709 None False
710 9bcf21bfd74a07633ed1b123c0a0229ec47ba73382f51d1342a001f6d7590ea8 True
711 None False
712 None False
713 None False
714 None False
715 None False
716 None False
717 None False
718 None False
719 None False
720 None False
721 None False
722 None False
723 None False
724 None False
725 None False
726 None False
727 None False
728 None False
729 None False
730 None False
731 None False
732 None False
733 None False
734 None False
735 None False
736 None False
737 None False
738 None False
739 None False
740 None False
741 None False
742 None False
743 cd46125163da39baa59d2d5dd43970ab8cfe2a1efbe8d8a33a0cc3814dd39fd2 True
744 None False
745 None False
746 None False
747 None False
748 None False
749 None False
750 None False
751 None False
752 None False
753 None False
754 None False
755 None False
756 None False
757 None False
758 None False
759 None False
760 None False
761 None False
762 None False
763 None False
764 None False
765 None False
766 None False
767 None False
768 None False
769 None False
770 None False
771 None False
772 None False
773 None False
774 None False
775 1b9d87c83fe5eaf8dc2035e154148aa069978aa59044761b1e95e99a725020b3 True
776 None False
777 None False
778 None False
779 None False
780 None False
781 None False
782 None False
783 None False
784 None False
785 None False
786 None False
787 None False
788 None False
789 None False
790 None False
791 None False
792 None False
793 None False
794 None False
795 None False
796 None False
797 None False
798 None False
799 None False
800 None False
801 None False
802 None False
803 None False
804 None False
805 None False
806 None False
807 None False
808 None False
809 None False
810 None False
811 None False
812 None False
813 None False
814 None False
815 None False
816 None False
817 None False
818 None False
819 None False
820 None False
821 None False
822 None False
823 None False
824 None False
825 None False
826 None False
827 None False
828 None False
829 None False
830 None False
831 None False
832 None False
833 None False
834 None False
835 None False
836 None False
837 None False
838 None False
839 None False
840 None False
841 None False
842 None False
843 bd735d91330688cb84422cee21545f693b0eb58a166f469081229265b955ed15 True
844 None False
845 None False
846 None False
847 None False
848 None False
849 None False
850 None False
851 None False
852 None False
853 None False
854 None False
855 None False
856 None False
857 None False
858 None False
859 None False
860 None False
861 None False
862 None False
863 None False
864 None False
865 None False
866 None False
867 None False
868 None False
869 None False
870 None False
871 None False
872 None False
873 None False
874 None False
875 None False
876 None False
877 None False
878 None False
879 None False
880 None False
881 None False
882 None False
883 None False
884 None False
885 None False
886 None False
887 None False
888 None False
889 None False
890 None False
891 None False
892 None False
893 None False
894 None False
895 None False
897 None False
898 None False
899 None False
900 None False
901 None False
902 None False
903 None False
904 None False
905 None False
906 None False
907 None False
908 None False
909 None False
910 None False
911 None False
912 None False
913 None False
914 None False
915 None False
916 None False
917 None False
918 None False
919 None False
920 None False
921 None False
922 None False
923 None False
924 None False
925 None False
926 None False
927 None False
928 None False
929 None False
930 None False
931 None False
932 None False
933 None False
934 None False
935 None False
936 None False
937 None False
938 None False
939 None False
940 None False
941 None False
942 None False
943 None False
944 None False
945 None False
946 None False
947 None False
948 None False
949 None False
950 None False
951 None False
952 None False
953 None False
954 None False
955 None False
956 None False
957 None False
958 None False
959 None False
960 None False
961 None False
962 None False
963 None False
964 None False
965 None False
966 None False
967 None False
968 None False
969 None False
970 None False
971 None False
972 None False
973 None False
974 None False
975 None False
976 None False
977 None False
978 None False
979 None False
980 None False
981 None False
982 None False
983 None False
984 None False
985 None False
986 None False
987 None False
988 None False
989 None False
990 None False
991 None False
992 None False
993 None False
994 None False
996 None False
997 None False
998 None False
999 None False
ASR: 0.008040201005025126
Time Consuming: 181.61936652025386
