[Evalation] Gamma->MalConv
107 253c572789818529c77bed95423a30179aaa2ca8868d3fe221414f26901f4c7a True
109 234a77bd932cc6cfc38ff8f7e7098d12e2f921021c93b94d321c0cd90f7c530a True
110 6b25c74ed177e7108d0cdb1de590e8e54f04ce0ea4af16a38e44760c9120967d True
111 bf32ef5bb1a0aa8f1e6c170f6aaa7d4095ba14fb4d6217404afa3659469283d8 True
112 ae6046d8d4839647b6d3acc43b91bb3cc661a2ab10898f7b2eca2050dffc9a7f True
114 967b2260f09df6d8d508ea853046eb416867410e6d44d016547d0d21f4ad5271 True
116 8a47ac92b4fa757fac0a0a461dee18d2d7902cda5578bb1a2a76945b75669942 True
117 cbc735ddfd1452d2dc8f1037c5000e46f0ae12f7a708528e6d335cb1734cbf67 True
118 a16dcab7c86be27d3d674d0665d4db3fd2f47fe2cc0ba8f87f40a415d54358e0 True
119 56250db9cf02989911e0bb092d18cc5c6423bd3e79c41a6b500678db1d0f8e39 True
120 cb855a09ea6d283b759ba40e8ef74488036489f98495c243eb436c31ca0bbd3e True
121 77959397377d285e5242599b524f25f4ab720cddffa0db9c6f441dfe8b0b3ecb True
122 37c61fac0d5c82d93d02bec8ae406e96986228f085756ad9dba3e66fa7906f87 True
127 36a01e9ba33c344dae50a9ce00261efbbe4f0879cf1b87c252fc97125bd1674a True
128 e0b6ea942beec47fe08294c0ce42f4ce35ecb5926e9531d9cc21bc3163d8be7e True
129 dee0f4fe745412fadc79f3d96c938ae74bce477c6b7e1bd452ba004c19310c37 True
130 db975a07d86473399615f15faf2f40cf59f7fffa8b40e715ac3446fbcc374c2c True
132 c980d49917c0aeabd06aa062fac0055a8eebd2ed4eefb053ad7cab5790dfc13f True
133 9691385b025d6bc645064f9cdf82f6c6325295d4c398bc1a70b92fcf7b29d278 True
134 2e8bccf7f4990142645e3e71c7ab193e902518f1cf1bde2e86efe6732325305c True
135 d3073b22081f282c1dd1b48c022403acd608b6017e043fbb60fb50e311329004 True
